2014at6231	B	nxHelBake1.g11.t1	II	192823	203191	0	ngHelPoly1.g6510.t1	II	239163	247642	2207
4454at6231	B	nxHelBake1.g13.t1	II	211484	233811	1	ngHelPoly1.g6512.t1	II	266083	284557	2208
6328at6231	B	nxHelBake1.g17.t1	II	317902	337125	2	ngHelPoly1.g6518.t1	II	385763	389380	2209
7010at6231	B	nxHelBake1.g18.t1	II	394007	410648	3	ngHelPoly1.g6519.t1	II	444304	453277	2210
9840at6231	X	nxHelBake1.g26.t1	II	565241	580013	4	ngHelPoly1.g6526.t1	II	575834	593578	2211
9390at6231	N	nxHelBake1.g28.t1	II	597217	600935	5	ngHelPoly1.g6527.t1	II	645529	650607	2212
4225at6231	B	nxHelBake1.g32.t1	II	686877	734686	6	ngHelPoly1.g6532.t1	II	753017	776177	2213
5833at6231	-	nxHelBake1.g35.t1	II	782466	784831	7	ngHelPoly1.g6536.t1	II	823666	827075	2214
131at6231	B	nxHelBake1.g44.t1	II	868907	920041	8	ngHelPoly1.g6546.t1	II	913483	932796	2215
219at6231	B	nxHelBake1.g64.t3	II	1186377	1216753	9	ngHelPoly1.g6570.t1	II	1174741	1212295	2216
9448at6231	N	nxHelBake1.g72.t1	II	1489690	1494423	10	ngHelPoly1.g6579.t1	II	1513304	1516787	2217
4072at6231	B	nxHelBake1.g96.t1	II	2252927	2279912	11	ngHelPoly1.g6603.t1	II	2224103	2250122	2218
997at6231	B	nxHelBake1.g97.t1	II	2283748	2325842	12	ngHelPoly1.g6604.t1	II	2253722	2289187	2219
9048at6231	B	nxHelBake1.g103.t1	II	2668686	2680726	13	ngHelPoly1.g6613.t1	II	2584381	2596416	2220
2277at6231	B	nxHelBake1.g115.t1	II	3043377	3078894	14	ngHelPoly1.g6625.t1	II	2884225	2917972	2221
3292at6231	B	nxHelBake1.g123.t1	II	3256226	3266541	15	ngHelPoly1.g6632.t1	II	3066093	3071845	2222
6523at6231	-	nxHelBake1.g128.t1	II	3372995	3392906	16	ngHelPoly1.g6636.t1	II	3128687	3145355	2223
8317at6231	-	nxHelBake1.g142.t1	II	3872080	3884534	17	ngHelPoly1.g6646.t1	II	3569395	3580787	2224
146at6231	B	nxHelBake1.g147.t2	II	4006814	4068225	18	ngHelPoly1.g6650.t1	II	3695732	3744427	2225
2420at6231	B	nxHelBake1.g150.t2	II	4144316	4170202	19	ngHelPoly1.g6653.t1	II	3818174	3842677	2226
2761at6231	B	nxHelBake1.g155.t1	II	4415916	4433655	20	ngHelPoly1.g6660.t1	II	4030322	4050808	2227
2660at6231	N	nxHelBake1.g159.t1	II	4520108	4529939	21	ngHelPoly1.g6663.t1	II	4138445	4149856	2228
5548at6231	N	nxHelBake1.g198.t1	II	5450886	5462051	22	ngHelPoly1.g6697.t1	II	5065953	5076766	2229
3927at6231	N	nxHelBake1.g199.t1	II	5463043	5470076	23	ngHelPoly1.g6698.t1	II	5078536	5084994	2230
1200at6231	B	nxHelBake1.g200.t1	II	5490018	5547153	24	ngHelPoly1.g6699.t1	II	5095487	5119786	2231
7480at6231	B	nxHelBake1.g211.t1	II	5929064	5941961	25	ngHelPoly1.g6709.t1	II	5485786	5499734	2232
