nxHelBake1.g9887.t2	0.0735
nxHelBake1.g9888.t1	0.0563
nxHelBake1.g9890.t1	0.0604
nxHelBake1.g9891.t1	0.0685
nxHelBake1.g9892.t1	0.0239
nxHelBake1.g9893.t1	0.0346
nxHelBake1.g9894.t1	0.0494
nxHelBake1.g9895.t1	0.0775
nxHelBake1.g9896.t1	0.0328
nxHelBake1.g9897.t1	0.0696
nxHelBake1.g9898.t1	0.0363
nxHelBake1.g9901.t1	0.0478
nxHelBake1.g9903.t1	0.1450
nxHelBake1.g9904.t1	0.1540
nxHelBake1.g9905.t1	0.0479
nxHelBake1.g9906.t1	0.0843
nxHelBake1.g9907.t2	0.0811
nxHelBake1.g9908.t1	0.0313
nxHelBake1.g9909.t1	0.0882
nxHelBake1.g9910.t2	0.0664
nxHelBake1.g9911.t1	0.0643
nxHelBake1.g9912.t1	0.1314
nxHelBake1.g9914.t1	0.1203
nxHelBake1.g9915.t1	0.0965
nxHelBake1.g9916.t1	0.0169
nxHelBake1.g9917.t1	0.0725
nxHelBake1.g9918.t1	0.0856
nxHelBake1.g9919.t1	0.1224
nxHelBake1.g9920.t1	0.0611
nxHelBake1.g9921.t1	0.1082
nxHelBake1.g9922.t1	0.0927
nxHelBake1.g9925.t1	0.0738
nxHelBake1.g9926.t1	0.0684
nxHelBake1.g9927.t1	0.0592
nxHelBake1.g9928.t1	0.0252
nxHelBake1.g9929.t1	0.1809
nxHelBake1.g9930.t1	0.0711
nxHelBake1.g9931.t2	0.0517
nxHelBake1.g9932.t1	0.3201
nxHelBake1.g9933.t3	0.1139
nxHelBake1.g9935.t2	0.0914
nxHelBake1.g9936.t1	0.0549
nxHelBake1.g9937.t1	0.0906
nxHelBake1.g9938.t1	0.0607
nxHelBake1.g9940.t1	0.1127
nxHelBake1.g9941.t1	0.0260
nxHelBake1.g9942.t1	0.1223
nxHelBake1.g9944.t1	0.1606
nxHelBake1.g9951.t1	0.1144
nxHelBake1.g9955.t1	0.1096
nxHelBake1.g9958.t1	0.1672
nxHelBake1.g9959.t1	0.2074
nxHelBake1.g9960.t1	0.0634
nxHelBake1.g9962.t1	0.0788
nxHelBake1.g9964.t1	0.1376
nxHelBake1.g9963.t1	0.1072
nxHelBake1.g9966.t2	0.0865
nxHelBake1.g9967.t1	0.1028
nxHelBake1.g9968.t2	0.0743
nxHelBake1.g9969.t1	0.0996
nxHelBake1.g9970.t2	0.0965
nxHelBake1.g9971.t1	0.0867
nxHelBake1.g9972.t1	0.3206
nxHelBake1.g9973.t1	0.0297
nxHelBake1.g9974.t1	0.0415
nxHelBake1.g9975.t1	0.0409
nxHelBake1.g9976.t1	0.0939
nxHelBake1.g9978.t1	0.2426
nxHelBake1.g9979.t1	0.1336
nxHelBake1.g9985.t1	0.0474
nxHelBake1.g9986.t1	0.0951
nxHelBake1.g9987.t4	0.5816
nxHelBake1.g9988.t1	0.1001
nxHelBake1.g9990.t1	0.1284
nxHelBake1.g9991.t1	0.1357
nxHelBake1.g9992.t1	0.1533
nxHelBake1.g9994.t1	0.1141
nxHelBake1.g9995.t1	0.0564
nxHelBake1.g9996.t1	0.0766
nxHelBake1.g9997.t1	0.0153
nxHelBake1.g9998.t1	0.0395
nxHelBake1.g9999.t4	0.0600
nxHelBake1.g10000.t1	0.0783
nxHelBake1.g10007.t1	0.0602
