nxHelBake1.g9887.t2	0.0735	nonshared
nxHelBake1.g9888.t1	0.0563	nonshared
nxHelBake1.g9890.t1	0.0604	nonshared
nxHelBake1.g9891.t1	0.0685	nonshared
nxHelBake1.g9892.t1	0.0239	nonshared
nxHelBake1.g9893.t1	0.0346	nonshared
nxHelBake1.g9894.t1	0.0494	nonshared
nxHelBake1.g9895.t1	0.0775	nonshared
nxHelBake1.g9896.t1	0.0328	nonshared
nxHelBake1.g9897.t1	0.0696	nonshared
nxHelBake1.g9898.t1	0.0363	nonshared
nxHelBake1.g9901.t1	0.0478	nonshared
nxHelBake1.g9903.t1	0.1450	nonshared
nxHelBake1.g9904.t1	0.1540	nonshared
nxHelBake1.g9905.t1	0.0479	nonshared
nxHelBake1.g9906.t1	0.0843	nonshared
nxHelBake1.g9907.t2	0.0811	nonshared
nxHelBake1.g9908.t1	0.0313	nonshared
nxHelBake1.g9909.t1	0.0882	nonshared
nxHelBake1.g9910.t2	0.0664	nonshared
nxHelBake1.g9911.t1	0.0643	nonshared
nxHelBake1.g9912.t1	0.1314	nonshared
nxHelBake1.g9914.t1	0.1203	nonshared
nxHelBake1.g9915.t1	0.0965	nonshared
nxHelBake1.g9916.t1	0.0169	nonshared
nxHelBake1.g9917.t1	0.0725	nonshared
nxHelBake1.g9918.t1	0.0856	nonshared
nxHelBake1.g9919.t1	0.1224	nonshared
nxHelBake1.g9920.t1	0.0611	nonshared
nxHelBake1.g9921.t1	0.1082	nonshared
nxHelBake1.g9922.t1	0.0927	nonshared
nxHelBake1.g9925.t1	0.0738	nonshared
nxHelBake1.g9926.t1	0.0684	nonshared
nxHelBake1.g9927.t1	0.0592	nonshared
nxHelBake1.g9928.t1	0.0252	nonshared
nxHelBake1.g9929.t1	0.1809	nonshared
nxHelBake1.g9930.t1	0.0711	nonshared
nxHelBake1.g9931.t2	0.0517	nonshared
nxHelBake1.g9932.t1	0.3201	nonshared
nxHelBake1.g9933.t3	0.1139	nonshared
nxHelBake1.g9935.t2	0.0914	nonshared
nxHelBake1.g9936.t1	0.0549	nonshared
nxHelBake1.g9937.t1	0.0906	nonshared
nxHelBake1.g9938.t1	0.0607	nonshared
nxHelBake1.g9940.t1	0.1127	nonshared
