nxHelBake1.g8376.t1	IV	69489928	69563098	99.69
nxHelBake1.g1227.t1	II	41275095	41284137	100.0
nxHelBake1.g6421.t1	V	107017148	107059892	98.01
nxHelBake1.g12450.t1	I	82837314	82846098	100.0
nxHelBake1.g18588.t1	III	100482292	100489261	98.95
nxHelBake1.g16966.t1	III	44431017	44440492	100.0
nxHelBake1.g779.t1	II	25445791	25504947	98.65
nxHelBake1.g7928.t1	IV	50891251	50898059	100.0
nxHelBake1.g17707.t1	III	75405019	75405771	100.0
nxHelBake1.g4004.t1	V	20173134	20200797	98.1
nxHelBake1.g1144.t1	II	38635244	38635561	100.0
nxHelBake1.g1258.t1	II	42274327	42288623	100.0
nxHelBake1.g554.t1	II	16803453	16840941	98.43
nxHelBake1.g1880.t2	II	69406759	69431867	99.36
nxHelBake1.g14683.t1	X	60645318	60686272	100.0
nxHelBake1.g3149.t2	II	103439662	103464961	97.45
nxHelBake1.g14852.t1	X	69156418	69176293	100.0
nxHelBake1.g1356.t1	II	46723302	46730117	100.0
nxHelBake1.g11830.t1	I	63076089	63084604	100.0
nxHelBake1.g8534.t1	IV	74738588	74751995	100.0
nxHelBake1.g14581.t2	X	53418647	53476486	97.12
nxHelBake1.g18286.t1	III	90432933	90499750	97.19
nxHelBake1.g14951.t2	X	72638647	72654213	100.0
nxHelBake1.g5845.t1	V	89979157	90016693	98.94
nxHelBake1.g11442.t2	I	46969794	46974302	99.46
nxHelBake1.g17584.t1	III	71238126	71255326	99.26
nxHelBake1.g6375.t1	V	106069809	106088036	98.57
nxHelBake1.g3121.t1	II	102730218	102752932	99.15
nxHelBake1.g5585.t1	V	81064309	81072253	98.86
nxHelBake1.g813.t4	II	27055369	27071503	99.74
nxHelBake1.g4441.t1	V	36969162	36974929	98.5
nxHelBake1.g17767.t1	III	77498391	77509314	100.0
nxHelBake1.g9092.t1	IV	91665629	91673674	100.0
nxHelBake1.g5055.t1	V	61445642	61451050	100.0
nxHelBake1.g15719.t1	III	5724435	5739495	99.86
nxHelBake1.g277.t2	II	8013926	8028879	96.12
nxHelBake1.g6701.t1	IV	8394606	8435464	98.14
nxHelBake1.g12986.t2	I	99857914	99882032	98.28
nxHelBake1.g8818.t1	IV	83610511	83645125	99.5
nxHelBake1.g14697.t1	X	61938860	61987691	96.9
nxHelBake1.g10297.t1	I	11836089	11838111	98.77
nxHelBake1.g8564.t1	IV	75526288	75535872	100.0
nxHelBake1.g12916.t2	I	97621710	97630427	100.0
nxHelBake1.g11325.t1	I	42775574	42775979	100.0
nxHelBake1.g7200.t1	IV	25625696	25632028	99.1
nxHelBake1.g11996.t2	I	69376268	69387288	98.67
nxHelBake1.g7927.t1	IV	50873702	50891113	98.88
nxHelBake1.g10291.t1	I	11610999	11618634	100.0
