CBG06205c	IV	8998350	9033429	99.21
CBG03308	II	6612427	6613221	96.18
CBG23175	V	9690663	9692864	85.07
CBG20368	I	12202248	12203043	100.0
CBG09088	III	4000256	4003084	95.86
CBG29987	I	8493620	8495214	95.27
CBG20834	II	11581060	11581523	100.0
CBG02368a	II	10388928	10396900	99.17
CBG07988	I	14295174	14296255	100.0
CBG21702	IV	4812248	4813692	98.95
CBG18353	III	5110370	5111262	95.41
CBG23021	III	13590550	13592603	98.39
CBG01486	V	1184591	1190300	99.33
CBG11103	II	4596781	4597522	100.0
CBG12566	I	9478624	9479339	100.0
CBG20627	II	10900396	10901682	100.0
CBG20797	II	11415952	11420071	97.94
CBG13115	II	5949530	5950474	100.0
CBG03168	II	7147201	7157835	94.73
CBG14145	X	8210286	8211244	98.41
CBG21440	II	14789436	14799226	92.65
CBG18827	I	12785226	12785677	100.0
CBG21902	I	6850588	6851855	99.22
CBG21925	I	6943836	6945984	99.22
CBG13585	IV	17470146	17470933	90.0
CBG14070	X	7890680	7893085	97.88
CBG09053	III	4110434	4122225	89.86
CBG22764	X	16450797	16454605	99.69
CBG01474a	V	1148421	1154626	98.6
CBG02643	II	9346905	9347635	98.17
CBG20480b	I	6731888	6734075	100.0
CBG15764	III	1493948	1498134	100.0
CBG09631	V	10508252	10509923	100.0
CBG07185	II	15727551	15733905	98.76
CBG07107a	II	16029175	16032145	98.71
CBG07320	X	19870046	19870855	97.76
CBG24263	cb25.NA_124	27904	35256	98.51
CBG20872	II	11736566	11737098	100.0
CBG23345a	V	9033941	9034690	99.15
CBG21100	III	3207131	3213990	100.0
CBG02941b	II	8099486	8100638	98.12
CBG22957	III	13993893	13997668	91.23
CBG12347b	I	8976629	8994403	95.47
CBG16355	X	1078111	1086444	99.37
CBG02195	I	8239702	8240140	98.77
CBG17671	IV	11716084	11718649	99.72
CBG03003a	II	7826277	7828000	100.0
CBG03552	III	10831434	10831916	98.75
CBG19597	II	12635856	12638764	89.31
CBG20901	II	11870892	11871167	100.0
CBG13024	II	6280489	6283415	99.32
CBG14915	I	3515204	3515856	100.0
CBG15185	III	462838	463299	100.0
CBG12374	I	8881445	8885577	87.85
CBG21703	IV	4811639	4812019	97.67
CBG11978	I	7363768	7365167	97.97
CBG30862	IV	10423899	10424423	98.28
