"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"ECA396"	"I"	1900000	12000	1912000
"2"	"ECA396"	"I"	2329000	32000	2361000
"3"	"ECA396"	"I"	12103000	11000	12114000
"4"	"ECA396"	"I"	12797000	9000	12806000
"5"	"ECA396"	"I"	13053000	32000	13085000
"6"	"ECA396"	"I"	13103000	58000	13161000
"7"	"ECA396"	"I"	14028000	9000	14037000
"8"	"ECA396"	"II"	671000	9000	680000
"9"	"ECA396"	"II"	868000	22000	890000
"10"	"ECA396"	"II"	958000	17000	975000
"11"	"ECA396"	"II"	1056000	18000	1074000
"12"	"ECA396"	"II"	1528000	108000	1636000
"13"	"ECA396"	"II"	1645000	13000	1658000
"14"	"ECA396"	"II"	1671000	29000	1700000
"15"	"ECA396"	"II"	1736000	58000	1794000
"16"	"ECA396"	"II"	1800000	148000	1948000
"17"	"ECA396"	"II"	2017000	30000	2047000
"18"	"ECA396"	"II"	2072000	55000	2127000
"19"	"ECA396"	"II"	2136000	13000	2149000
"20"	"ECA396"	"II"	2232000	165000	2397000
"21"	"ECA396"	"II"	2419000	15000	2434000
"22"	"ECA396"	"II"	2474000	10000	2484000
"23"	"ECA396"	"II"	2534000	9000	2543000
"24"	"ECA396"	"II"	2600000	11000	2611000
"25"	"ECA396"	"II"	3343000	18000	3361000
"26"	"ECA396"	"II"	3871000	15000	3886000
"27"	"ECA396"	"II"	4720000	11000	4731000
"28"	"ECA396"	"II"	12585000	18000	12603000
"29"	"ECA396"	"II"	12867000	11000	12878000
"30"	"ECA396"	"II"	13565000	10000	13575000
"31"	"ECA396"	"II"	13649000	16000	13665000
"32"	"ECA396"	"II"	13740000	10000	13750000
"33"	"ECA396"	"II"	13937000	13000	13950000
"34"	"ECA396"	"III"	0	41000	41000
"35"	"ECA396"	"III"	57000	27000	84000
"36"	"ECA396"	"III"	111000	23000	134000
"37"	"ECA396"	"III"	135000	26000	161000
"38"	"ECA396"	"III"	942000	51000	993000
"39"	"ECA396"	"III"	1190000	9000	1199000
"40"	"ECA396"	"III"	1284000	30000	1314000
"41"	"ECA396"	"III"	1378000	35000	1413000
"42"	"ECA396"	"III"	2202000	123000	2325000
"43"	"ECA396"	"III"	2526000	13000	2539000
"44"	"ECA396"	"III"	2829000	9000	2838000
"45"	"ECA396"	"III"	9912000	21000	9933000
"46"	"ECA396"	"III"	11093000	50000	11143000
"47"	"ECA396"	"III"	12355000	18000	12373000
"48"	"ECA396"	"III"	12598000	10000	12608000
"49"	"ECA396"	"IV"	16000	16000	32000
"50"	"ECA396"	"IV"	2264000	11000	2275000
"51"	"ECA396"	"IV"	2592000	9000	2601000
"52"	"ECA396"	"IV"	2697000	16000	2713000
"53"	"ECA396"	"IV"	2811000	17000	2828000
"54"	"ECA396"	"IV"	2864000	24000	2888000
"55"	"ECA396"	"IV"	3732000	12000	3744000
"56"	"ECA396"	"IV"	3823000	10000	3833000
"57"	"ECA396"	"IV"	3893000	79000	3972000
"58"	"ECA396"	"IV"	4102000	9000	4111000
"59"	"ECA396"	"IV"	6268000	34000	6302000
"60"	"ECA396"	"IV"	6634000	11000	6645000
"61"	"ECA396"	"IV"	7458000	9000	7467000
"62"	"ECA396"	"IV"	13980000	9000	13989000
"63"	"ECA396"	"IV"	17284000	112000	17396000
"64"	"ECA396"	"IV"	17447000	11000	17458000
"65"	"ECA396"	"V"	391000	130000	521000
"66"	"ECA396"	"V"	589000	23000	612000
"67"	"ECA396"	"V"	682000	38000	720000
"68"	"ECA396"	"V"	845000	27000	872000
"69"	"ECA396"	"V"	1511000	27000	1538000
"70"	"ECA396"	"V"	1641000	16000	1657000
"71"	"ECA396"	"V"	1672000	14000	1686000
"72"	"ECA396"	"V"	2592000	47000	2639000
"73"	"ECA396"	"V"	2803000	19000	2822000
"74"	"ECA396"	"V"	2874000	23000	2897000
"75"	"ECA396"	"V"	3051000	21000	3072000
